id,notary_id,commission_state,commission_number,issue_date,expiration_date,status,is_renewal_applied,expected_renewal_date
1,1,CA,23456789,2021-01-01,2025-01-01,EXPIRED,0,
2,2,TX,87654321,2022-05-10,2026-05-10,VALID,1,2026-04-01
3,3,NY,99887766,2019-03-15,2023-03-15,EXPIRED,0,
4,4,FL,GG123456,2023-07-20,2027-07-20,VALID,0,
5,5,WA,WA556677,2018-09-01,2022-09-01,EXPIRED,0,
6,6,NV,NV334455,2024-01-10,2028-01-10,VALID,0,
7,7,AZ,AZ778899,2021-11-11,2025-11-11,EXPIRED,0,
8,8,IL,IL223344,2023-02-02,2027-02-02,VALID,1,2027-01-01
9,9,OH,OH998811,2022-06-06,2026-06-06,VALID,0,
10,10,MI,MI445566,2020-08-08,2024-08-08,EXPIRED,0,
11,11,GA,GA112233,2023-12-12,2027-12-12,VALID,1,2027-11-01
12,12,NC,NC667788,2018-03-03,2022-03-03,EXPIRED,0,
13,13,VA,VA889900,2024-04-04,2028-04-04,VALID,0,
14,14,NJ,NJ556644,2020-10-10,2024-10-10,EXPIRED,0,
15,15,PA,PA332211,2019-07-07,2023-07-07,EXPIRED,0,
16,16,MA,MA909090,2024-02-02,2028-02-02,VALID,0,
17,17,CO,CO121212,2023-05-05,2027-05-05,VALID,0,
18,18,OR,OR343434,2022-09-09,2026-09-09,VALID,1,2026-08-01
19,19,MN,MN565656,2021-11-11,2025-11-11,NOT_QUALIFIED,0,
20,20,UT,UT787878,2024-06-06,2028-06-06,VALID,0,
